iter	Passed	Remaining
0	244	488623
1	298	298488
2	356	237524
3	408	203815
4	456	182212
5	507	168563
6	566	161348
7	618	154084
8	671	148657
9	729	145203
10	790	142883
11	843	139670
12	901	137780
13	959	136142
14	1011	133796
15	1062	131756
16	1116	130197
17	1173	129202
18	1235	128806
19	1290	127767
20	1343	126565
21	1393	125265
22	1449	124599
23	1496	123216
24	1559	123163
25	1620	123046
26	1675	122403
27	1725	121493
28	1771	120419
29	1825	119891
30	1875	119141
31	1931	118809
32	1982	118167
33	2035	117679
34	2091	117435
35	2143	116931
36	2203	116881
37	2257	116560
38	2328	117086
39	2375	116421
40	2426	115917
41	2478	115567
42	2533	115323
43	2587	115013
44	2638	114609
45	2696	114524
46	2749	114262
47	2804	114038
48	2856	113734
49	2920	113893
50	2967	113397
51	3031	113573
52	3080	113171
53	3145	113341
54	3196	113032
55	3248	112761
56	3295	112334
57	3353	112298
58	3403	111960
59	3456	111770
60	3515	111739
61	3565	111451
62	3611	111052
63	3668	110975
64	3725	110918
65	3788	111016
66	3835	110669
67	3891	110560
68	3942	110337
69	4000	110303
70	4051	110070
71	4108	110018
72	4162	109869
73	4210	109598
74	4263	109439
75	4320	109387
76	4366	109052
77	4423	108993
78	4475	108835
79	4532	108771
80	4578	108478
81	4639	108510
82	4688	108290
83	4742	108172
84	4801	108183
85	4856	108086
86	4909	107963
87	4963	107846
88	5014	107665
89	5069	107590
90	5122	107465
91	5168	107185
92	5215	106944
93	5268	106822
94	5325	106786
95	5372	106550
96	5423	106397
97	5469	106148
98	5519	105987
99	5574	105919
100	5619	105659
101	5670	105519
102	5725	105455
103	5771	105215
104	5829	105199
105	5889	105238
106	5943	105149
107	5995	105030
108	6054	105039
109	6100	104817
110	6147	104615
111	6193	104399
112	6247	104333
113	6297	104182
114	6342	103958
115	6397	103904
116	6442	103692
117	6498	103644
118	6550	103547
119	6595	103334
120	6648	103251
121	6703	103192
122	6762	103203
123	6816	103127
124	6861	102925
125	6906	102713
126	6960	102650
127	7009	102513
128	7062	102429
129	7122	102460
130	7184	102500
131	7224	102233
132	7282	102233
133	7332	102110
134	7379	101947
135	7440	101974
136	7488	101833
137	7539	101723
138	7589	101610
139	7640	101506
140	7696	101477
141	7739	101268
142	7782	101059
143	7827	100887
144	7877	100771
145	7925	100638
146	7982	100622
147	8033	100521
148	8103	100666
149	8155	100582
150	8199	100406
151	8255	100372
152	8307	100282
153	8349	100090
154	8395	99933
155	8444	99813
156	8484	99600
157	8528	99426
158	8578	99325
159	8625	99196
160	8678	99131
161	8725	98994
162	8781	98965
163	8833	98892
164	8876	98718
165	8923	98584
166	8977	98534
167	9031	98485
168	9092	98512
169	9137	98359
170	9188	98276
171	9236	98166
172	9284	98049
173	9342	98046
174	9387	97896
175	9443	97864
176	9493	97775
177	9549	97746
178	9600	97670
179	9651	97583
180	9704	97528
181	9760	97492
182	9807	97378
183	9864	97355
184	9921	97334
185	9966	97199
186	10008	97038
187	10054	96910
188	10106	96837
189	10157	96765
190	10200	96613
191	10239	96424
192	10286	96304
193	10337	96230
194	10385	96130
195	10449	96179
196	10489	96004
197	10542	95949
198	10602	95958
199	10646	95817
200	10692	95702
201	10745	95642
202	10803	95638
203	10854	95558
204	10916	95588
205	10965	95491
206	11015	95412
207	11057	95268
208	11107	95183
209	11150	95046
210	11202	94983
211	11259	94962
212	11311	94901
213	11368	94875
214	11416	94784
215	11466	94706
216	11517	94634
217	11564	94533
218	11617	94476
219	11659	94336
220	11712	94279
221	11756	94159
222	11801	94040
223	11854	93989
224	11903	93904
225	11958	93866
226	12011	93819
227	12067	93787
228	12119	93730
229	12172	93677
230	12219	93573
231	12265	93468
232	12322	93447
233	12364	93317
234	12413	93229
235	12464	93168
236	12515	93102
237	12560	92990
238	12607	92894
239	12663	92863
240	12710	92771
241	12758	92681
242	12814	92653
243	12858	92542
244	12907	92456
245	12953	92362
246	12998	92251
247	13049	92185
248	13095	92087
249	13151	92059
250	13209	92047
251	13266	92021
252	13317	91962
253	13372	91920
254	13437	91956
255	13491	91912
256	13538	91816
257	13593	91783
258	13651	91764
259	13703	91709
260	13752	91630
261	13813	91634
262	13867	91590
263	13921	91543
264	13974	91492
265	14033	91481
266	14081	91396
267	14135	91354
268	14188	91299
269	14240	91244
270	14293	91194
271	14353	91186
272	14400	91095
273	14456	91062
274	14513	91039
275	14562	90962
276	14607	90861
277	14659	90803
278	14709	90735
279	14758	90657
280	14812	90616
281	14863	90550
282	14918	90514
283	14965	90423
284	15013	90345
285	15066	90296
286	15121	90256
287	15176	90216
288	15240	90232
289	15283	90119
290	15333	90051
291	15388	90009
292	15443	89974
293	15498	89933
294	15548	89867
295	15599	89800
296	15651	89743
297	15707	89709
298	15770	89716
299	15815	89622
300	15872	89593
301	15925	89541
302	15972	89456
303	16028	89421
304	16076	89342
305	16120	89241
306	16176	89205
307	16226	89141
308	16277	89079
309	16324	88996
310	16379	88955
311	16428	88884
312	16483	88840
313	16529	88751
314	16576	88669
315	16627	88611
316	16680	88559
317	16730	88492
318	16781	88430
319	16827	88344
320	16872	88250
321	16924	88197
322	16974	88129
323	17024	88062
324	17073	87992
325	17123	87930
326	17177	87885
327	17233	87849
328	17281	87775
329	17333	87719
330	17381	87642
331	17435	87596
332	17481	87514
333	17541	87495
334	17594	87448
335	17650	87413
336	17698	87336
337	17749	87274
338	17795	87194
339	17843	87116
340	17894	87060
341	17946	87003
342	18009	87004
343	18069	86987
344	18115	86900
345	18162	86824
346	18214	86766
347	18266	86714
348	18317	86652
349	18374	86623
350	18424	86556
351	18469	86472
352	18514	86385
353	18568	86337
354	18615	86262
355	18665	86196
356	18716	86137
357	18772	86100
358	18823	86044
359	18875	85987
360	18921	85907
361	18971	85844
362	19027	85805
363	19081	85762
364	19141	85742
365	19196	85700
366	19245	85636
367	19293	85564
368	19340	85488
369	19391	85427
370	19449	85397
371	19501	85345
372	19546	85259
373	19593	85186
374	19651	85156
375	19692	85053
376	19737	84970
377	19794	84937
378	19842	84865
379	19895	84816
380	19948	84768
381	19994	84688
382	20051	84657
383	20112	84639
384	20160	84567
385	20210	84506
386	20261	84448
387	20314	84398
388	20359	84316
389	20408	84251
390	20464	84214
391	20515	84156
392	20576	84138
393	20624	84069
394	20673	84003
395	20724	83945
396	20776	83890
397	20832	83853
398	20880	83782
399	20929	83717
400	20986	83684
401	21042	83644
402	21100	83616
403	21149	83551
404	21202	83500
405	21245	83411
406	21288	83322
407	21334	83247
408	21384	83186
409	21431	83112
410	21487	83072
411	21532	82992
412	21581	82928
413	21629	82859
414	21683	82814
415	21729	82738
416	21779	82680
417	21834	82638
418	21883	82573
419	21929	82497
420	21981	82444
421	22031	82384
422	22082	82325
423	22132	82266
424	22182	82207
425	22227	82125
426	22272	82050
427	22324	81994
428	22382	81966
429	22426	81881
430	22479	81835
431	22526	81761
432	22575	81699
433	22633	81669
434	22687	81622
435	22738	81567
436	22785	81496
437	22846	81476
438	22893	81406
439	22945	81350
440	22993	81286
441	23042	81221
442	23090	81155
443	23134	81073
444	23194	81049
445	23241	80979
446	23296	80938
447	23351	80896
448	23401	80835
449	23446	80760
450	23492	80686
451	23546	80642
452	23599	80591
453	23655	80552
454	23709	80506
455	23758	80446
456	23810	80392
457	23857	80323
458	23902	80249
459	23960	80216
460	24018	80181
461	24069	80128
462	24115	80056
463	24162	79986
464	24217	79944
465	24261	79864
466	24306	79790
467	24352	79719
468	24402	79660
469	24453	79604
470	24513	79577
471	24564	79521
472	24620	79484
473	24684	79469
474	24736	79418
475	24784	79353
476	24834	79294
477	24890	79254
478	24930	79163
479	24983	79115
480	25035	79063
481	25092	79024
482	25143	78969
483	25192	78909
484	25243	78854
485	25297	78806
486	25357	78778
487	25415	78746
488	25467	78693
489	25523	78655
490	25576	78604
491	25617	78519
492	25666	78457
493	25710	78380
494	25768	78345
495	25817	78286
496	25866	78224
497	25910	78148
498	25958	78082
499	26002	78007
500	26047	77934
501	26095	77870
502	26148	77822
503	26201	77771
504	26252	77718
505	26309	77682
506	26365	77641
507	26415	77581
508	26457	77502
509	26505	77437
510	26550	77365
511	26594	77291
512	26640	77221
513	26693	77172
514	26748	77128
515	26799	77073
516	26852	77026
517	26902	76966
518	26947	76897
519	27001	76849
520	27055	76804
521	27113	76770
522	27163	76713
523	27212	76651
524	27265	76603
525	27318	76552
526	27366	76489
527	27419	76441
528	27463	76369
529	27514	76313
530	27571	76276
531	27625	76229
532	27669	76156
533	27725	76116
534	27774	76054
535	27821	75989
536	27865	75917
537	27907	75839
538	27952	75767
539	28001	75708
540	28066	75690
541	28111	75620
542	28160	75560
543	28215	75518
544	28258	75441
545	28304	75374
546	28350	75308
547	28396	75239
548	28441	75169
549	28494	75122
550	28539	75051
551	28588	74992
552	28642	74946
553	28695	74898
554	28738	74824
555	28792	74778
556	28842	74721
557	28887	74651
558	28940	74603
559	28992	74551
560	29043	74498
561	29094	74443
562	29141	74381
563	29185	74309
564	29234	74251
565	29282	74188
566	29338	74147
567	29386	74088
568	29431	74018
569	29487	73977
570	29543	73937
571	29592	73878
572	29643	73824
573	29703	73792
574	29757	73746
575	29806	73688
576	29860	73643
577	29905	73573
578	29953	73513
579	29995	73437
580	30041	73370
581	30095	73326
582	30145	73270
583	30196	73216
584	30242	73150
585	30292	73094
586	30339	73031
587	30388	72972
588	30441	72924
589	30490	72867
590	30555	72847
591	30605	72791
592	30654	72734
593	30710	72691
594	30752	72618
595	30803	72563
596	30845	72490
597	30895	72433
598	30950	72390
599	30999	72333
600	31053	72287
601	31107	72240
602	31163	72198
603	31205	72123
604	31257	72073
605	31309	72021
606	31358	71964
607	31411	71915
608	31469	71877
609	31520	71825
610	31573	71777
611	31633	71744
612	31691	71705
613	31738	71645
614	31790	71592
615	31843	71545
616	31896	71495
617	31939	71425
618	31982	71354
619	32034	71302
620	32081	71241
621	32132	71187
622	32187	71142
623	32237	71086
624	32282	71021
625	32332	70965
626	32377	70900
627	32422	70833
628	32466	70765
629	32512	70701
630	32555	70631
631	32602	70570
632	32664	70540
633	32721	70501
634	32770	70443
635	32822	70393
636	32877	70349
637	32920	70279
638	32967	70217
639	33011	70149
640	33059	70089
641	33115	70048
642	33160	69982
643	33208	69924
644	33259	69870
645	33308	69814
646	33352	69746
647	33399	69684
648	33459	69651
649	33510	69598
650	33566	69556
651	33619	69507
652	33664	69443
653	33722	69405
654	33782	69370
655	33832	69315
656	33877	69250
657	33933	69208
658	33987	69161
659	34042	69117
660	34084	69045
661	34132	68985
662	34178	68923
663	34223	68860
664	34286	68830
665	34352	68807
666	34400	68749
667	34448	68690
668	34510	68659
